Situation Number,Phase,NextPhase,Situation Name,ACT,Situation Description,Required Context,Given Context,Removed Context,Outcome
481,REVEAL,RESPONSE,Torchlight Catches the Moving Figure,Track the figure with the torchlight.,The torch sweeps across the trees and catches a human figure moving exactly where you heard the earlier disturbance.,"OBSERVING, MOVEMENT_HEARD","HIDDEN_PERSON, HUMAN_CONFIRMED",UNKNOWN_SOURCE,-
482,REVEAL,RESPONSE,The Voice Comes Again,Listen carefully and fix the direction of the voice.,"The voice comes again, weaker but clearer this time, allowing you to place where the distressed person is calling from.","LISTENING, VOICE_HEARD, DISTRESS_POSSIBLE","DISTRESS_CONFIRMED, VOICE_LOCATED",-,-
483,REVEAL,RESPONSE,Blood Marks the Route of the Movement,Inspect the blood trail before deciding whether to follow.,"Near the place where the movement passed, you find fresh drops of blood leading away into the darkness.","TRACK_SEARCH, MOVEMENT_HEARD",BLOOD_TRAIL,-,-
484,REVEAL,RESPONSE,Fresh Tracks Circle the Cargo,Inspect the tracks around the disturbed supplies.,"Fresh human footprints circle the cargo and lead away from the camp, strongly suggesting that someone approached your supplies while you slept.","TRACK_SEARCH, CARGO_DISTURBED, CARGO_PRESENT","HUMAN_CONFIRMED, HUMAN_TRACKS, THEFT_POSSIBLE",UNKNOWN_SOURCE,-
485,REVEAL,RESPONSE,A Trail Continues Beneath the Light's Path,Follow the disturbed ground for a short distance.,"Scuffed soil and broken vegetation continue in the same direction as the strange light, leaving a trail you can follow away from camp.","TRACK_SEARCH, LIGHT_SEEN",TRAIL_FOUND,-,-
486,REVEAL,RESPONSE,The Cry Leads to a Wounded Traveller,Approach carefully and assess the traveller's condition.,"Following the direction of the cry, you find a wounded traveller close to camp. Their injuries explain the distressed voice that woke you.","INVESTIGATING, VOICE_HEARD, DISTRESS_POSSIBLE","HUMAN_CONFIRMED, TRAVELLER_PRESENT, WOUNDED_TRAVELLER",UNKNOWN_SOURCE,-
487,REACTION,REVEAL,Wait and Watch the Fire,Remain beside the weakening fire and see whether the embers hold.,"You stay beside the weakening fire without adding more fuel, watching to see whether the remaining flames can hold on by themselves.","CAMP, FIRE_LOW",WAITING_AT_FIRE,-,-
488,RESPONSE,RESOLUTION,Inspect the Animal Tracks,Study the tracks closely before deciding whether they are worth following.,"You kneel beside the prints and study their size, depth, spacing, and direction, trying to judge what kind of animal passed near camp and how recently it was here.",ANIMAL_TRACKS,ANIMAL_TRACKS_INSPECTED,-,-
489,RESPONSE,RESOLUTION,Mark the Tracks and Return to Camp,Memorize the direction of the trail and return to the safety of the fire.,"You decide not to follow an unseen animal through the darkness. Instead, you mark the direction of the tracks and return to camp while you still know exactly where you are.",ANIMAL_TRACKS,ANIMAL_TRACKS_MARKED,-,-
490,RESOLUTION,END,The Tracks Belong to a Large Predator,Use what you learned from the tracks and return to camp.,"The deep prints and long stride belong to a large predator. Knowing what passed nearby is warning enough, and you return to camp instead of following it into the dark.",ANIMAL_TRACKS_INSPECTED,-,-,DANGER_AVOIDED
491,RESOLUTION,END,The Tracks Belong to a Small Forager,Leave the harmless trail alone and return to camp.,"The prints are small and light, belonging to a harmless foraging animal that likely passed through looking for scraps. With no real threat nearby, you return to rest.",ANIMAL_TRACKS_INSPECTED,-,-,-
492,RESOLUTION,END,The Tracks Are Too Disturbed to Read,Stop trying to identify the animal and return to camp.,"The prints overlap with older marks and disturbed soil. You cannot identify the animal with confidence, so you decide not to follow an uncertain trail at night.",ANIMAL_TRACKS_INSPECTED,-,-,-
493,RESOLUTION,END,The Trail Stays Away from Camp,Keep the marked direction in mind and return to rest.,"From the direction and spacing of the tracks, it is clear the animal was moving away from the campsite rather than toward it. You return to the fire reassured.",ANIMAL_TRACKS_MARKED,-,-,DANGER_AVOIDED
494,RESOLUTION,END,Fresh Movement Crosses the Trail,"Listen once more, then choose not to pursue the unseen animal.","A branch shifts somewhere along the marked direction, confirming the animal is still moving through the area. It does not approach camp, and you choose not to chase it.",ANIMAL_TRACKS_MARKED,-,-,DANGER_AVOIDED
495,RESOLUTION,END,Nothing Returns Along the Tracks,Watch the marked trail briefly before returning to rest.,"You keep the trail under observation from camp, but nothing follows the tracks back toward the fire. Eventually you let the night settle again.",ANIMAL_TRACKS_MARKED,-,-,-
496,RESPONSE,RESOLUTION,Let the Animal Take the Bait,Stay back and let the animal use the bait you already placed.,"The bait is already in position, so you do not offer anything more. You remain still and watch to see whether the animal takes the food and leaves the camp alone.","ANIMAL_BAIT_SET, ANIMAL_CONFIRMED",ANIMAL_FED,-,-
497,RESOLUTION,END,The Movement Fades into the Distance,Listen until you are sure the movement is leaving the area.,You wait without pursuing it. The faint rustling gradually moves farther from camp until the night becomes still again.,"MYSTERY_WAITED, MOVEMENT_HEARD",-,-,-
498,RESOLUTION,END,The Voice Never Calls Again,Wait for the distant voice to return one more time.,"You remain awake and listen, but the cry never comes again. With no direction to follow and no further sign of distress, you eventually return to rest.","MYSTERY_WAITED, VOICE_HEARD",-,-,-
499,RESOLUTION,END,The Cargo Remains Quiet,Keep watching the supplies for another disturbance.,"You wait beside the cargo, but nothing touches the bags again. Whatever caused the earlier noise does not return before the camp settles.","MYSTERY_WAITED, CARGO_DISTURBED",-,-,-
500,RESOLUTION,END,The Footsteps Continue Down the Road,Listen until the footsteps are clearly moving away.,The footsteps resume at a distance and continue past the camp rather than toward it. Whoever was walking nearby appears to be travelling on.,"MYSTERY_WAITED, FOOTSTEPS_HEARD",-,-,-
501,RESOLUTION,END,The Strange Light Disappears Beyond the Trees,Watch the last place where the light was visible.,"The distant light appears once more between the trees, then moves steadily away until it disappears from sight. It never approaches the camp.","MYSTERY_WAITED, LIGHT_SEEN",-,-,-
502,RESOLUTION,END,The Animal Call Moves Away,Listen to the direction of the animal sounds before returning to rest.,"The animal calls again from farther away, then gradually fade into the distance. Whatever animal passed nearby is moving away from camp.","MYSTERY_WAITED, ANIMAL_SOUND",-,-,DANGER_AVOIDED
503,RESOLUTION,END,The Whispering Voices Move On,Stay quiet until the voices are clearly leaving.,"The whispering continues for a short while beyond the firelight, then the voices drift farther away. The unseen people decide not to approach your camp.","MYSTERY_WAITED, WHISPERS_HEARD",-,-,DANGER_AVOIDED
